doc_id,sentence_nr,sentence,relation_types,arguments
OA-STM_001,17,"Continuous looping experiments were undertaken to investigate the effect of 4.5 kg , 6 kg and 13 kg bed inventory , and SO2 concentrations of 0ppm , 1000ppm and 2000ppm for a bed inventory of 13 kg , on elemental partitioning between solid sorbent and gaseous emissions . .",All,"['partitioning', 'solid sorbent', 'partitioning', 'gaseous emissions']"
OA-STM_001,160,"By contrast , it has also been suggested that interaction , and therefore capture of Ni with Ca - bearing materials is of minor significance [ 31 ] although it would appear that this is not the case in this study .",All,"['interaction', 'Ca - bearing materials']"
OA-STM_001,162,[ 32 ] found a negative correlation of rare earth elements and CaO.,All,"['correlation', 'rare earth elements']"
OA-STM_002,15,The option to use a pipette with smaller bore than a 10ml pipette would assist the optimization of breaking cell clumps to the desirable size and reduce the single cell debris caused by pipetting .,All,"['optimization', 'breaking cell clumps', 'optimization', 'breaking cell clumps to the desirable size']"
OA-STM_002,16,"While these modifications would be required to optimize the present protocol to ensure maximum yields of cells , this study represents a proof of principle that hiPSC can be expanded in clumps using automation without loss of quality .",All,"['optimize', 'hiPSC']"
OA-STM_002,38+39,"  Here , we have addressed all these issues by transferring an established manual method to grow hiPSCin feeder free and chemically defined medium onto an automated platform compatible with large scale production .",All,"['compatible', 'large scale production']"
OA-STM_002,112,"Therefore , the automation platform was used to dispense the complete media .",All,"['dispense', 'the automation platform', 'dispense', 'the complete media']"
OA-STM_002,121,"This would have improved process reproducibility , however the methods available for counting cell aggregates / clump are not yet suitable to be integrated within an automation platform .",All,"['integrated', 'an automation platform']"
OA-STM_003,89,"By contrast , in Example 3.2 , we had to specify this explicitly , by stating that any behavior of the output in [ t-,t-+d ) is feasible ( by leaving the behavior unspecified in this interval).Whereas the specification in Example 3.4 simplifies the one of Example 3.2 only marginally , this is very different for the modules exhibiting more complex relations between input and output introduced later on : Accurately describing all suffixes of a non - trivial partial execution can be error - prone and may result in unnecessarily involved module specifications .",All,"['relations', 'input', 'relations', 'output']"
OA-STM_003,199,"Note that in general that does not mean that if the module 's execution is feasible on two separate intervals there is any guaranteed relation between the behavior on these intervals , as arbitrary transient faults result in arbitrary modifications of the module 's state .",All,"['relation', 'the behavior on these intervals']"
OA-STM_003,322,"By contrast , in Example 3.2 , we had to specify this explicitly , by stating that any behavior of the output in [ t-,t-+d ) is feasible ( by leaving the behavior unspecified in this interval).Whereas the specification in Example 3.4 simplifies the one of Example 3.2 only marginally , this is very different for the modules exhibiting more complex relations between input and output introduced later on : Accurately describing all suffixes of a non - trivial partial execution can be error - prone and may result in unnecessarily involved module specifications .",All,"['relations', 'input', 'relations', 'output']"
OA-STM_003,342,"Taking dmin+ and dmax+ into account in the quick cycle machine , we make best use of the available bounds in terms of the final frequency / synchrony trade-off .",All,"['trade-off', 'synchrony']"
OA-STM_003,392,"To this end , the HSMs of the Byzantine nodes can be replaced by special devices that allow to ( possibly inconsistently ) communicate , via the communication data buses , any HSM state to any receiver HSM at any time .",All,"['communicate', 'the communication data buses']"
OA-STM_003,431,"Since 4 < n - f , the nodes in A∪C require the support of the nodes in A to follow to state accept .",All,"['to', 'the nodes in A∪C']"
OA-STM_003,489,"Formal specification of clock synchronization protocolsIn the formal framework introduced above , a node is simply a compound module that will operate according to some specification whenever it is non - faulty .",All,"['operate', 'some specification']"
OA-STM_003,607,"More specifically , in order to faithfully implement their specifications , basic modules must be able to (i) deal with all possible inputs and (ii) recover reliably from transient faults .",All,"['deal', '(ii)']"
OA-STM_003,635,"This way , our approach also inherently supports tight interaction between algorithmic design and design of the basic building blocks used in the algorithms .",All,"['interaction', 'algorithmic design', 'interaction', 'design of the basic building blocks', 'used in the algorithms', 'of the basic building blocks']"
OA-STM_003,664,"Before we proceed with a description of the implementations of the required basic modules , we discuss how FATAL+ deals with the threat of metastability arising from our extreme fault scenarios ..",All,"['deals', 'the threat of metastability', 'arising from our extreme fault scenarios']"
OA-STM_003,680,"Moreover , elastic pipelines acting as metastability filters [ 40 ] or synchronizers could be added easily to our design to further protect such elements.(III)We enforce (standard) error containment by avoiding any explicit control flow between ASMs : Since the communication is exclusively performed by virtue of states , a faulty receiver can not impact a non - faulty sender , and a faulty sender , in turn , can not directly interfere with the operation of a non - faulty receiver ( apart from conveying an incorrect state , of course ) .",All,"['interfere', 'the operation of a non - faulty receiver']"
OA-STM_003,692+693,"  Since we assume that faulty nodes may output arbitrary signals at their output ports , our model thus makes no distinction between a "" conventionally "" faulty node and one that behaves erratically due to metastable upsets.1919To match our model , invalid signal states are simply mapped to some default state , e.g. resync for the main state machine .",All,"['distinction', 'a "" conventionally "" faulty node']"
OA-STM_003,713,"This information is directly used for type (3) guards , and fed into memory flags for type (2) guards .",All,"['fed', 'This information']"
OA-STM_003,747,"Eventually , after stabilization , the synchrony between non - faulty nodes guaranteed by the FATAL+ protocol ensures that the received state data will always be stable when read in a transition condition in the main algorithm 's outer cycle , recall item (I) in Section 6.1 . .",All,"['synchrony', 'non - faulty nodes', 'guaranteed by the FATAL+ protocol']"
OA-STM_003,860,"As soon as the comparator detects a match between the current count and the timeout register , it will set match to 1 .",All,"['match', 'the current count', 'match', 'the timeout register']"
OA-STM_003,866,"A uniformly distributed random value from the specified range , sampled from the LFSR , is loaded into the timeout register whenever the watchdog timer is re - triggered.2929Note that for many settings , it is reasonable to assume that the new random value remains a secret until the timeout expires , as it is not read or in any other way considered by the node until then .",All,"['loaded', 'the new random value']"
