doc_id,sentence_nr,sentence,relation_types,arguments
JEB.1285,0,"Contrary to expectations , our study showed that daily exposure to a lower temperature had no effect on the bats ' learning abilities even though those bats spent less time with Tskin>30 ° C in comparison to bats kept at the higher temperature .",TradeOffs with Arg-Modifiers,[]
JEB.1285,1,"This suggests that for bats living under natural conditions , daily torpor would have no significant cognitive consequence with respect to relatively simple tasks .",TradeOffs with Arg-Modifiers,[]
JEB.1285,2,"Although the function of sleep is not fully understood , it is known that it plays an important role in the consolidation and retention of memory ( Stickgold , 2005 ) , while torpor is a process that allows energy conservation compared with resting ( Geiser , 2004 ) .",TradeOffs with Arg-Modifiers,[]
JEB.1285,3,The two states of sleep and torpor are mutually exclusive .,TradeOffs with Arg-Modifiers,[]
JEB.1285,4,"When animals decrease their body temperature , the possibility of sleep is 


 suspended , and when they increase their body temperature to sleep , the costs of sustaining that high temperature increase ( Roth et al . , 2010 ; Trachsel et al . , 1991 ) .",TradeOffs with Arg-Modifiers,[]
JEB.1285,5,We conservatively assumed that greater mouse - eared bats ( M. myotis ) are able to sleep when their skin temperature exceeds 30 ° C .,TradeOffs with Arg-Modifiers,[]
JEB.1285,6,"Djungarian hamsters spontaneously sleep when their body temperature rises above 20 ° C ( Palchykova et al . , 2002 ) after torpor .",TradeOffs with Arg-Modifiers,[]
JEB.1285,7,"Unfortunately , the influence of torpor on the sleeping pattern of bats is not known ( Zhao et al . , 2010 ) .",TradeOffs with Arg-Modifiers,[]
JEB.1285,8,"Therefore , we can only speculate about the conditions necessary for bats to sleep and consolidate memory .",TradeOffs with Arg-Modifiers,[]
JEB.1285,9,Number of successful trials on both experimental days in the perch search experiment .,TradeOffs with Arg-Modifiers,[]
JEB.1285,10,"Between experimental sessions , bats were kept at 7 or 22 ° C .",TradeOffs with Arg-Modifiers,[]
JEB.1285,11,Time taken to find a dry perch .,TradeOffs with Arg-Modifiers,[]
JEB.1285,12,"Between experimental days , bats were exposed to 7 or 22 ° C .",TradeOffs with Arg-Modifiers,[]
JEB.1285,13,"Our experiments of exposure to low and high temperatures did not reveal differences in the speed of learning between treatment groups , although the period of time with Tskin>30 °",TradeOffs with Arg-Modifiers,[]
JEB.1285,14,This indicates that the duration of torpor does not play a role ( or plays only a minor one ) in the impairment of memory consolidation of a simple task .,TradeOffs with Arg-Modifiers,[]
JEB.1285,15,"In other words , bats are able to avoid or minimize the conflict between energy conservation and memory consolidation .",TradeOffs with Arg-Modifiers,[]
JEB.1285,16,Torpor impairs object recognition in rodents in complex tasks but not in simple ones,TradeOffs with Arg-Modifiers,[]
JEB.1285,17,"Bats in our tasks had to associate spatial elements with food or a safe place , which may be a more complicated task than simple object recognition .",TradeOffs with Arg-Modifiers,[]
JEB.1285,18,Such a task demands skills of association of spatial elements with rewards .,TradeOffs with Arg-Modifiers,[]
JEB.1285,19,"The extremely weak tendency for slower learning in bats kept at lower temperatures suggests that if torpor indeed affects learning abilities , it is happening at a very subtle level .",TradeOffs with Arg-Modifiers,[]
JEB.1285,20,The lack of clear cognitive effects of the decrease in body temperature could be explained by a bat 's life history .,TradeOffs with Arg-Modifiers,[]
JEB.1285,21,"Many bat species live in complex environments and knowledge about this environment is probably important in their long life ( Ruczynski and Siemers , 2011 ) .",TradeOffs with Arg-Modifiers,[]
JEB.1285,22,"Therefore , behavioural and physiological mechanisms should have evolved in bats to minimize the negative effects of a trade-off between energy conservation and cognitive abilities .",TradeOffs with Arg-Modifiers,"['trade-off', 'energy conservation', 'trade-off', 'cognitive abilities']"
JEB.1285,23,Negative effects of torpor may be particularly minimized when learning is associated with a food reward ( which probably is the most common situation in nature ) .,TradeOffs with Arg-Modifiers,[]
JEB.1285,24,"This is because digestion prevents the bats from falling into torpor quickly ( Matheson et al . , 2010 ) and thus may provide a suitable amount of time for memory consolidation , therefore decreasing the potential effects of sleep deprivation by torpor .",TradeOffs with Arg-Modifiers,[]
JEB.1285,25,The subsequent fall into torpor might have no or only minimal effects on acquired skills or knowledge .,TradeOffs with Arg-Modifiers,[]
JEB.1285,26,"The idea that recent feeding delays the onset of torpor is further supported by the fact that in both treatment groups , animals that were in the perch search experiment , which were not fed after their training session , entered torpor more quickly and spent more time with Tskin below 30 ° C than bats in the food search experiment , which received food during training and experimental trails .",TradeOffs with Arg-Modifiers,[]
JEB.1285,27,"Nevertheless , in both treatment groups , the dynamics of Tskin followed natural patterns ( Dietz and Kalko , 2006 ) .",TradeOffs with Arg-Modifiers,[]
JEB.1285,28,Bats were active with high body temperatures for several hours after training and only subsequently decreased their body temperatures .,TradeOffs with Arg-Modifiers,[]
JEB.1285,29,Our data suggest that even 1–2 h during which the bats keep their body temperature high is sufficient to consolidate memory about a simple task .,TradeOffs with Arg-Modifiers,[]
JEB.1285,30,"We conclude that under natural situations , negative effects of torpor on cognitive ability play only a marginal role , if any , in bats .",TradeOffs with Arg-Modifiers,[]
JEB.1285,31,"However , we suggest that starvation may amplify potential negative effects on cognitive processes in bats .",TradeOffs with Arg-Modifiers,[]
JEB.1285,32,"We argue on a more general level that although solving cognitive problems demands high brain temperatures , a period of decreased body temperature and inactivity does not necessarily impair cognitive processes that are actively underway before and after torpor .",TradeOffs with Arg-Modifiers,[]
JEB.1285,33,"Long - term memory is important for many animals in a variety of different contexts ( Roth et al . , 2010 ) .",TradeOffs with Arg-Modifiers,[]
JEB.1285,34,"Good memory allows for quick and effective rediscovering of food resources and hides , identification of conspecifics , etc .",TradeOffs with Arg-Modifiers,[]
JEB.1285,35,"( Shettleworth , 2001 ; Stoddard et al . , 1991 ) .",TradeOffs with Arg-Modifiers,[]
JEB.1285,36,"Storage of accurate memories is an active and costly process involving maintenance and repair of neural structures ( Dukas , 1999 ) .",TradeOffs with Arg-Modifiers,[]
JEB.1285,37,"Therefore , animals may experience conflicts between the benefits and costs of memory retention ( the keeping of memory over prolonged periods of time )",TradeOffs with Arg-Modifiers,"['conflicts', 'the benefits', 'conflicts', 'costs', 'memory retention', 'memory retention']"
JEB.1285,38,"( Chancellor et al . , 2011 ; Roth and Pravosudov , 2009 ) ; for example , food - catching birds living in harsh climates have developed a larger hippocampus volume than those from milder areas , which may result in enhanced spatial memory and better survival in birds from harsh climates .",TradeOffs with Arg-Modifiers,[]
JEB.1285,39,"A memory is normally formed after repeated learning events ( Smid et al . , 2007 ) and sleep enhances this process ( Palchykova et al . , 2002 ; Roth et al . , 2010 ) .",TradeOffs with Arg-Modifiers,[]
JEB.1285,40,"Sleep deprivation has negative effects on both memory consolidation [ the storage of initial memory representations into long - term memory by stabilization , enhancement and integration processes ( Stickgold , 2005 ) ] and retention",TradeOffs with Arg-Modifiers,[]
JEB.1285,41,"( Graves et al . , 2003 ; Guan et al . , 2004 ) .",TradeOffs with Arg-Modifiers,[]
JEB.1285,42,"Recently , an interesting conflict between energy conservation and sleep was discovered in hibernation and torpor using mammals ( for review , see Roth et al . , 2010 ) .",TradeOffs with Arg-Modifiers,[]
JEB.1285,43,"Such mammals are able to decrease their body temperature to save energy during periods of food deficiency ( Geiser , 2008 ) .",TradeOffs with Arg-Modifiers,[]
